Source,Relationship.type,Target,Description
Solar PV,positive,Air Quality,Reduces pollutant emissions associated with conventional power
Government Incentives,positive,Solar PV,Feed-in tariffs and tax benefits drive adoption
Cost of Installation,negative,Solar PV,High upfront cost is a barrier to widespread use
Public Awareness and Perception,mixed,Solar PV,Can drive or hinder uptake based on trust and knowledge
Building Orientation and Roof Space,positive,Solar PV,Physical conditions affect feasibility
Electricity Pricing,mixed,Solar PV,Higher grid prices make solar more attractive
Regulatory Framework,positive,Solar PV,Clear rules for grid connection and metering help deployment
Energy Storage Integration,positive,Solar PV,Enables time-shifting of solar generation
Grid Infrastructure,mixed,Solar PV,May require upgrades to handle variable inputs
Technology Advancements,positive,Solar PV,"Improve efficiency, durability, and cost-effectiveness"
Urban Planning and Zoning,positive,Solar PV,"Supports integration into rooftops, facades, and public spaces"
Artificial Intelligence (AI),positive,Solar PV,Optimizes panel performance and fault prediction
Internet of Things (IoT),positive,Solar PV,Monitors output and environmental conditions in real-time
Smart Meters,positive,Solar PV,Enable energy tracking and dynamic pricing models
5G Connectivity,positive,Solar PV,Improves real-time data transmission for performance monitoring
Blockchain,positive,Solar PV,Facilitates peer-to-peer energy trading and transaction security
Energy Management Systems,positive,Solar PV,Coordinate solar production with demand and storage
Mobile Apps and Interfaces,positive,Solar PV,Empower users to monitor and control generation
Public Transportation,positive,GHG Emissions,Reduces emissions by replacing individual car trips
Public Transportation,positive,Air Quality,Less pollution compared to private vehicle use
Public Transportation,positive,Traffic Congestion,Reduces number of cars on roads
Public Transportation,positive,Public Health,Increases physical activity and reduces pollution exposure
Public Transportation,positive,Accessibility,Improves mobility for people without cars
Public Transportation,positive,Urban Equity,Reduces transportation barriers for low-income populations
Public Transportation,positive,Energy Efficiency,Efficient energy use per passenger compared to cars
Public Transportation,positive,Land Use Efficiency,"Enables dense, walkable urban development"
Public Transportation,positive,Economic Productivity,Reduces travel times and supports workforce mobility
Public Transportation,positive,Noise Pollution,Modern fleets produce less noise than traditional vehicles
Funding and Investment,positive,Public Transportation,Enables expansion and modernization
Policy and Regulation,positive,Public Transportation,Drives prioritization and integration in city planning
Urban Density,positive,Public Transportation,Supports economically viable routes
Infrastructure Availability,positive,Public Transportation,"Stations, lanes, and maintenance hubs are essential"
Public Perception,mixed,Public Transportation,Affects ridership depending on comfort and reliability
Technological Innovations,positive,Public Transportation,Support efficiency and integration
Fare Structure,mixed,Public Transportation,Can encourage or discourage use depending on affordability
Integration with Other Modes,positive,Public Transportation,Boosts convenience and ridership
Real-time Information Systems,positive,Public Transportation,Improves user experience and decision-making
Climate Conditions,mixed,Public Transportation,Can affect comfort and infrastructure durability
Artificial Intelligence (AI),positive,Public Transportation,Enables route optimization and demand prediction
Internet of Things (IoT),positive,Public Transportation,Monitors fleet performance and crowding
5G Connectivity,positive,Public Transportation,Enables real-time updates and automated systems
Mobile Apps,positive,Public Transportation,"Support ticketing, navigation, and rider information"
Smart Cards and Contactless Payments,positive,Public Transportation,Simplify access and reduce boarding time
Autonomous Vehicle Technology,positive,Public Transportation,Can power future self-driving shuttles or buses
Smart Infrastructure,positive,Public Transportation,Enables responsive traffic signals and priority lanes
Car Sharing,positive,GHG Emissions,Reduces emissions by decreasing private car ownership
Car Sharing,positive,Air Quality,Less vehicle use leads to lower emissions
Car Sharing,positive,Traffic Congestion,Fewer cars on the road when shared efficiently
Car Sharing,positive,Parking Demand,Reduces need for parking spaces in cities
Car Sharing,positive,Mobility Access,Provides flexible transportation for non-car owners
Car Sharing,positive,Transportation Costs,Reduces the cost of vehicle ownership
Car Sharing,positive,Urban Space Efficiency,Frees up land for other uses
Car Sharing,positive,Energy Efficiency,Lower vehicle usage increases overall efficiency
Car Sharing,positive,Integration with Public Transport,Complements last-mile connectivity
Car Sharing,positive,Vehicle Utilization,Maximizes usage per vehicle compared to private cars
Urban Density,positive,Car Sharing,High density supports frequent use and availability
Digital Platforms,positive,Car Sharing,"Enable reservations, payments, and fleet tracking"
Public Awareness and Trust,mixed,Car Sharing,Affects willingness to use shared vehicles
Regulations and Licensing,positive,Car Sharing,Support safe and consistent operations
Integration with Other Modes,positive,Car Sharing,Improves convenience and adoption
Availability of Parking Spaces,mixed,Car Sharing,Supports operations but may compete with other uses
Cost Competitiveness,positive,Car Sharing,Encourages use over private vehicle ownership
Fleet Electrification,positive,Car Sharing,Enhances environmental benefits
User Preferences and Behavior,mixed,Car Sharing,Influences uptake and retention
Data Privacy and Security,mixed,Car Sharing,Affects user trust and platform adoption
Artificial Intelligence (AI),positive,Car Sharing,Improves fleet optimization and route prediction
Internet of Things (IoT),positive,Car Sharing,Monitors vehicle status and user activity
Mobile Applications,positive,Car Sharing,"Enable easy access, reservation, and billing"
5G Connectivity,positive,Car Sharing,Supports real-time location and communication
Smart Cards and Payment Systems,positive,Car Sharing,Simplify user experience and operations
Autonomous Vehicle Technology,positive,Car Sharing,Can support future driverless shared mobility
Blockchain,positive,Car Sharing,Secures transactions and enables decentralized systems
Smart Meters,positive,Energy Efficiency,Enable detailed monitoring and feedback to reduce waste
Smart Meters,positive,Consumer Awareness,Provides real-time usage data for informed decisions
Smart Meters,positive,Demand Response,Facilitate flexible energy usage and load shifting
Smart Meters,positive,Billing Accuracy,Reduce billing errors through precise measurement
Smart Meters,positive,Grid Stability,Support demand forecasting and load balancing
Smart Meters,positive,Renewable Energy Use,Help match consumption with variable renewable generation
Smart Meters,positive,Electric Vehicle Charging,Enable dynamic pricing and smart charging schedules
Smart Meters,positive,Integration with Smart Grids,Enhance bi-directional communication and control
Smart Meters,positive,Energy Cost Transparency,Make cost drivers visible to consumers
Smart Meters,positive,Carbon Emissions Reduction,Support behavioral changes that reduce emissions
Policy and Regulation,positive,Smart Meters,Mandates and incentives drive deployment
Consumer Acceptance,mixed,Smart Meters,Trust and perceived value influence adoption
Upfront Installation Costs,negative,Smart Meters,Cost can deter adoption without subsidies
Digital Literacy,positive,Smart Meters,Users need to understand and interact with data
Communication Infrastructure,positive,Smart Meters,Essential for real-time data transfer
Data Privacy Concerns,negative,Smart Meters,Fear of misuse can limit acceptance
Integration with Energy Systems,positive,Smart Meters,Compatibility with grids and buildings is key
Technology Standards,positive,Smart Meters,Standardization improves interoperability
Utilities Engagement,positive,Smart Meters,Utility support ensures reliable operation
Education and Awareness Campaigns,positive,Smart Meters,Promote understanding and trust
Artificial Intelligence (AI),positive,Smart Meters,Enables predictive analytics and usage forecasting
Internet of Things (IoT),positive,Smart Meters,Connects devices for monitoring and control
5G Connectivity,positive,Smart Meters,"Ensures fast, reliable data communication"
Blockchain,positive,Smart Meters,Secures energy transaction and usage records
Cloud Computing,positive,Smart Meters,Supports large-scale data storage and processing
Mobile Applications,positive,Smart Meters,Enable user access and control over energy data
Cycling,positive,GHG Emissions,"Replaces car trips, significantly reducing emissions"
Cycling,positive,Air Quality,Reduces local air pollution from transportation
Cycling,positive,Traffic Congestion,Takes pressure off congested roadways
Cycling,positive,Public Health,Increases physical activity and reduces sedentary lifestyle risks
Cycling,positive,Noise Pollution,Silent mode of transport improves urban soundscapes
Cycling,positive,Mobility Access,"Low-cost, flexible option for short-distance travel"
Cycling,positive,Urban Livability,"Supports cleaner, more active, and human-scale cities"
Cycling,positive,Land Use Efficiency,Requires less space than car infrastructure
Cycling,positive,Transportation Equity,Accessible to wide socioeconomic groups
Cycling,positive,Infrastructure Costs,Lower investment required compared to car-based infrastructure
Bicycle Infrastructure,positive,Cycling,Safe lanes and facilities boost ridership
Urban Design,positive,Cycling,"Compact, mixed-use areas promote cycling over driving"
Traffic Safety,mixed,Cycling,Perceived or real danger can discourage usage
Weather and Climate,mixed,Cycling,Affects comfort and feasibility
Public Awareness Campaigns,positive,Cycling,Promote benefits and normalize cycling culture
Policy and Regulation,positive,Cycling,Bike-friendly policies encourage investment
Integration with Public Transport,positive,Cycling,Improves last-mile connectivity and modal shift
Cultural Attitudes,mixed,Cycling,Social acceptance influences ridership
Bike Sharing Systems,positive,Cycling,Improves accessibility and spontaneity of use
Funding and Investment,positive,Cycling,Supports expansion and improvement of infrastructure
Mobile Applications,positive,Cycling,"Assist with navigation, safety alerts, and route planning"
GPS and Tracking,positive,Cycling,Enable real-time data for usage and planning
Bike Sharing Technology,positive,Cycling,Improves convenience and data integration
Internet of Things (IoT),positive,Cycling,Monitors shared bike systems and infrastructure usage
Smart Traffic Systems,positive,Cycling,Improves safety and flow at intersections
5G Connectivity,positive,Cycling,Enhances integration with real-time transport systems
Data Analytics,positive,Cycling,Helps cities plan better infrastructure based on usage patterns
Green Spaces,positive,Air Quality,Vegetation absorbs pollutants and improves local air conditions
Green Spaces,positive,Urban Temperature,Reduce heat island effect through shading and evapotranspiration
Green Spaces,positive,Public Health,Encourages physical activity and reduces stress
Green Spaces,positive,Stormwater Management,"Absorb rainwater, reducing flooding and runoff"
Green Spaces,positive,Biodiversity,Provide habitats and ecological corridors for wildlife
Green Spaces,positive,Noise Pollution,Vegetation can buffer and absorb urban noise
Green Spaces,positive,Urban Livability,Enhance recreational value and aesthetics
Green Spaces,positive,Carbon Sequestration,Capture CO₂ from the atmosphere
Green Spaces,positive,Property Value,Proximity to greenery often increases real estate value
Green Spaces,positive,Mental Wellbeing,Associated with reduced anxiety and depression symptoms
Urban Planning and Zoning,positive,Green Spaces,Determines allocation and protection of green areas
Land Availability,mixed,Green Spaces,Limited land in dense areas can restrict development
Public Awareness and Support,positive,Green Spaces,Community involvement drives maintenance and expansion
Climate Conditions,mixed,Green Spaces,"Affects vegetation type, irrigation, and maintenance needs"
Funding and Maintenance,positive,Green Spaces,Essential for ongoing care and quality
Policy and Environmental Regulations,positive,Green Spaces,Mandates and incentives promote creation
Environmental Justice Initiatives,positive,Green Spaces,Help ensure equitable distribution
Heat Stress Events,positive,Green Spaces,Drive demand for cooling and shade
Green Infrastructure Programs,positive,Green Spaces,Integrated policies boost implementation
Accessibility and Design,positive,Green Spaces,Inclusive and well-designed areas increase usage
Remote Sensing and GIS,positive,Green Spaces,Monitor vegetation health and spatial distribution
Smart Irrigation Systems,positive,Green Spaces,Improve water use efficiency
Environmental Sensors,positive,Green Spaces,"Track air quality, temperature, and soil moisture"
Data Analytics,positive,Green Spaces,Support planning and performance evaluation
Mobile Apps,positive,Green Spaces,Engage communities in stewardship and feedback
Drone Technology,positive,Green Spaces,Assist with monitoring and maintenance
5G Connectivity,positive,Green Spaces,Supports real-time sensor networks for urban ecology
Multipurpose Buildings,positive,Land Use Efficiency,"Combine residential, commercial, and public uses, optimizing space"
Multipurpose Buildings,positive,Energy Efficiency,Shared systems and resources reduce overall energy use
Multipurpose Buildings,positive,Urban Density,"Support compact, walkable communities"
Multipurpose Buildings,positive,Mobility Patterns,Reduce travel needs by co-locating functions
Multipurpose Buildings,positive,Social Interaction,Encourage community engagement and mixed-use interaction
Multipurpose Buildings,positive,Infrastructure Efficiency,Lower per-capita costs for utilities and services
Multipurpose Buildings,positive,Resilience,Flexible spaces support adaptive reuse during crises
Multipurpose Buildings,positive,Building Performance,Integrated systems can enhance performance and monitoring
Multipurpose Buildings,positive,Accessibility,Provide centralized access to key services
Multipurpose Buildings,positive,Sustainability,"Promote holistic, low-impact urban design"
Urban Planning and Zoning,positive,Multipurpose Buildings,Regulations determine allowable uses and density
Construction Costs,negative,Multipurpose Buildings,Integrated systems can raise upfront costs
Architectural Design,positive,Multipurpose Buildings,Good design enables functionality and flexibility
Energy Codes and Standards,positive,Multipurpose Buildings,Encourage high-performance buildings
Building Technologies,positive,Multipurpose Buildings,Enable efficient multi-use integration
Policy Incentives,positive,Multipurpose Buildings,Tax benefits and subsidies encourage development
Public Perception,mixed,Multipurpose Buildings,Affects acceptance based on aesthetics or convenience
Land Value,mixed,Multipurpose Buildings,Can influence financial viability
Climate Considerations,mixed,Multipurpose Buildings,Impact design and system requirements
Operational Complexity,negative,Multipurpose Buildings,More functions increase management demands
Building Management Systems (BMS),positive,Multipurpose Buildings,Enable efficient control of multi-use operations
Artificial Intelligence (AI),positive,Multipurpose Buildings,"Optimizes energy use, maintenance, and occupancy patterns"
Internet of Things (IoT),positive,Multipurpose Buildings,Connects systems for monitoring and control
Smart Meters,positive,Multipurpose Buildings,Track consumption by area or function
Energy Management Systems,positive,Multipurpose Buildings,Integrate renewable and load management across uses
5G Connectivity,positive,Multipurpose Buildings,Supports responsive building systems and tenant services
Digital Twins,positive,Multipurpose Buildings,"Allow virtual modeling for planning, maintenance, and adaptation"
Renewable Energy Generation,positive,GHG Emissions,Replaces fossil fuel sources and significantly cuts emissions
Renewable Energy Generation,positive,Energy Security,Diversifies supply and reduces dependence on imported fuels
Renewable Energy Generation,positive,Air Quality,Reduces air pollution from combustion-based energy sources
Renewable Energy Generation,positive,Energy Costs,Can reduce long-term electricity prices
Renewable Energy Generation,positive,Smart Grid Integration,"Enables decentralized, dynamic energy flows"
Renewable Energy Generation,positive,Building Energy Autonomy,Supports on-site energy generation
Renewable Energy Generation,positive,Public Health,Improves health outcomes through cleaner air
Renewable Energy Generation,positive,Carbon Sequestration,Indirectly supports land-based carbon sinks when paired with green infrastructure
Renewable Energy Generation,positive,Resilience,Improves ability to recover from energy supply disruptions
Renewable Energy Generation,positive,Sustainability,Supports long-term ecological balance and policy goals
Government Incentives and Subsidies,positive,Renewable Energy Generation,Financial support promotes deployment
Grid Infrastructure,mixed,Renewable Energy Generation,May require upgrades to support variable inputs
Energy Storage Systems,positive,Renewable Energy Generation,Enables time-shifting and reliability
Technology Advancements,positive,Renewable Energy Generation,Improve efficiency and reduce costs
Public Perception and Awareness,mixed,Renewable Energy Generation,Support depends on understanding and attitudes
Land Availability and Use,mixed,Renewable Energy Generation,Large-scale systems may require significant space
Climate and Weather Variability,mixed,Renewable Energy Generation,Affects generation potential and reliability
Policy and Regulation,positive,Renewable Energy Generation,Mandates and frameworks facilitate adoption
Market Conditions,mixed,Renewable Energy Generation,Electricity pricing and competition influence investment
Interconnection Standards,positive,Renewable Energy Generation,Enable grid access and safety compliance
Artificial Intelligence (AI),positive,Renewable Energy Generation,"Enables forecasting, optimization, and predictive maintenance"
Internet of Things (IoT),positive,Renewable Energy Generation,Supports real-time monitoring and smart control
5G Connectivity,positive,Renewable Energy Generation,Enhances data flow for system control and communication
Smart Meters,positive,Renewable Energy Generation,Help track production and align with demand
Blockchain,positive,Renewable Energy Generation,Enables secure peer-to-peer energy trading
Cloud Computing,positive,Renewable Energy Generation,Manages large-scale data from distributed systems
Energy Management Systems,positive,Renewable Energy Generation,"Coordinate generation, storage, and consumption efficiently"
Energy Management Systems,positive,Energy Efficiency,Optimize energy use across systems and devices
Energy Management Systems,positive,GHG Emissions,Reduce emissions by improving efficiency and integrating renewables
Energy Management Systems,positive,Operational Costs,Lower energy bills through smarter energy control
Energy Management Systems,positive,Grid Flexibility,Enable demand response and dynamic load control
Energy Management Systems,positive,Renewable Energy Integration,Balance and manage variable generation sources
Energy Management Systems,positive,Smart Grid Performance,"Enhance coordination between generation, storage, and loads"
Energy Management Systems,positive,Building Performance,Improve comfort and efficiency in residential/commercial buildings
Energy Management Systems,positive,System Resilience,Improve response to outages and peak demand
Energy Management Systems,positive,Data-Driven Decision Making,Support analytics for better planning and policy
Energy Management Systems,positive,User Engagement,Provide feedback and control interfaces for users
Digital Infrastructure,positive,Energy Management Systems,Enables real-time monitoring and control
Policy and Incentives,positive,Energy Management Systems,Regulations and support programs drive adoption
